id,name,value
1,USD,1
2,AED,3.67
3,AFN,88.4
4,ALL,114.97
5,AMD,404.81
6,ANG,1.79
7,AOA,430.4
8,ARS,135.17
9,AUD,1.45
10,AWG,1.79
11,AZN,1.7
12,BAM,1.95
13,BBD,2
14,BDT,94.11
15,BGN,1.95
16,BHD,0.38
17,BIF,2032.44
18,BMD,1
19,BND,1.39
20,BOB,6.9
21,BRL,5.19
22,BSD,1
23,BTN,79.86
24,BWP,12.81
25,BYN,2.63
26,BZD,2
27,CAD,1.3
28,CDF,1996.98
29,CHF,0.96
30,CLP,927.36
31,CNY,6.82
32,COP,4276.94
33,CRC,663.72
34,CUP,24
35,CVE,109.72
36,CZK,24.48
37,DJF,177.72
38,DKK,7.42
39,DOP,53.8
40,DZD,142
41,EGP,19.14
42,ERN,15
43,ETB,52.56
44,EUR,1
45,FJD,2.2
46,FKP,0.85
47,FOK,7.42
48,GBP,0.85
49,GEL,2.79
50,GGP,0.85
51,GHS,9.93
52,GIP,0.85
53,GMD,54.74
54,GNF,8605.41
55,GTQ,7.72
56,GYD,208.83
57,HKD,7.85
58,HNL,24.54
59,HRK,7.5
60,HTG,128.44
61,HUF,401.91
62,IDR,14816.64
63,ILS,3.27
64,IMP,0.85
65,INR,79.86
66,IQD,1456.01
67,IRR,42078.21
68,ISK,139.57
69,JEP,0.85
70,JMD,150.97
71,JOD,0.71
72,JPY,136.84
73,KES,120.06
74,KGS,81.77
75,KHR,4088.72
76,KID,1.45
77,KMF,489.53
78,KRW,1332.28
79,KWD,0.3
80,KYD,0.83
81,KZT,476.43
82,LAK,17306.64
83,LBP,1507.5
84,LKR,354.21
85,LRD,152.79
86,LSL,16.98
87,LYD,4.87
88,MAD,10.39
89,MDL,19.23
90,MGA,4101.73
91,MKD,60.43
92,MMK,2083.13
93,MNT,3190.5
94,MOP,8.08
95,MRU,37.58
96,MUR,45.3
97,MVR,15.41
98,MWK,1033.77
99,MXN,20.2
100,MYR,4.47
101,MZN,64.49
102,NAD,16.98
103,NGN,419.56
104,NIO,35.86
105,NOK,9.8
106,NPR,127.77
107,NZD,1.62
108,OMR,0.38
109,PAB,1
110,PEN,3.85
111,PGK,3.52
112,PHP,55.93
113,PKR,214.28
114,PLN,4.71
115,PYG,6865.28
116,QAR,3.64
117,RON,4.85
118,RSD,116.71
119,RUB,59.15
120,RWF,1057.16
121,SAR,3.75
122,SBD,8.04
123,SCR,12.98
124,SDG,565.97
125,SEK,10.57
126,SGD,1.39
127,SHP,0.85
128,SLE,14.23
129,SLL,14227.12
130,SOS,567.12
131,SRD,24.15
132,SSP,654.98
133,STN,24.38
134,SYP,2541.38
135,SZL,16.98
136,THB,35.79
137,TJS,10.24
138,TMT,3.5
139,TND,2.87
140,TOP,2.31
141,TRY,18.12
142,TTD,6.75
143,TVD,1.45
144,TWD,30.02
145,TZS,2329.22
146,UAH,37.01
147,UGX,3830.18
148,UYU,40.01
149,UZS,10938.29
150,VES,6.18
151,VND,23392.7
152,VUV,116.83
153,WST,2.63
154,XAF,652.7
155,XCD,2.7
156,XDR,0.76
157,XOF,652.7
158,XPF,118.74
159,YER,249.77
160,ZAR,16.98
161,ZMW,16.13
162,ZWL,494.18
